# feature1,feature2,target
2.62,-1.60,1.00
2.21,1.57,3.00
-1.68,-2.12,0.00
1.80,-0.75,1.00
0.46,0.01,2.00
1.50,-1.47,1.00
1.74,-1.84,1.00
-1.78,1.99,2.00
1.78,1.83,3.00
-0.86,0.73,2.00
-0.65,1.18,2.00
-1.20,0.22,0.00
-1.83,-2.70,0.00
-1.39,1.36,2.00
-1.31,-0.89,0.00
-1.07,-4.27,0.00
-1.11,-1.50,0.00
3.30,1.54,3.00
-0.77,1.01,2.00
2.01,-1.99,1.00
-1.35,1.34,2.00
0.57,1.88,3.00
2.16,0.95,3.00
1.21,-1.22,1.00
-2.95,2.64,2.00
-0.63,1.07,2.00
0.23,0.15,2.00
-2.06,1.77,2.00
-1.25,1.15,2.00
1.64,-0.42,1.00
-1.41,-2.90,0.00
-1.20,0.91,0.00
1.00,-0.52,1.00
1.02,-2.36,1.00
3.29,1.39,3.00
-2.45,2.43,2.00
-1.64,-2.22,0.00
-0.68,0.90,2.00
-1.46,0.13,0.00
3.25,1.77,3.00
-1.16,-1.27,0.00
2.17,-1.55,1.00
-1.49,-2.15,0.00
1.21,-0.63,1.00
0.39,1.04,3.00
1.80,-0.44,1.00
2.07,-0.96,1.00
0.08,1.95,3.00
-0.12,2.12,3.00
-1.64,-3.94,0.00
-2.07,1.74,2.00
1.58,-1.95,1.00
1.29,1.57,3.00
-0.79,1.01,2.00
-1.80,1.79,2.00
0.17,1.50,3.00
1.01,1.16,3.00
-1.37,1.52,2.00
2.17,1.62,3.00
-1.33,-3.11,0.00
0.94,1.59,3.00
-1.70,-0.85,0.00
-1.16,1.39,2.00
2.63,0.86,3.00
-1.03,1.12,2.00
-1.12,-0.89,0.00
-1.74,-3.73,0.00
1.00,1.24,3.00
-1.52,-0.91,0.00
-1.57,1.68,2.00
-1.64,-1.39,0.00
-2.28,-0.30,0.00
-1.72,1.74,2.00
0.26,1.62,3.00
0.56,1.31,3.00
1.16,-1.91,1.00
0.57,-0.15,2.00
-0.65,0.53,2.00
2.40,1.38,3.00
-1.31,1.29,2.00
0.63,-0.91,1.00
-3.96,3.53,2.00
-0.59,0.59,2.00
1.10,1.85,3.00
1.33,-2.05,1.00
2.69,1.03,3.00
1.23,0.95,3.00
1.67,-2.73,1.00
2.03,-1.63,1.00
2.11,1.93,3.00
1.18,-1.02,1.00
-1.60,1.47,2.00
-1.14,1.26,2.00
-2.54,2.32,2.00
1.98,1.40,3.00
1.55,-0.83,1.00
-2.68,2.35,2.00
2.17,1.58,3.00
-1.67,0.47,0.00
-0.54,0.62,2.00
-1.83,1.60,2.00
1.64,-1.16,1.00
-1.44,-1.82,0.00
-1.70,0.03,0.00
1.51,-0.86,1.00
2.83,1.34,3.00
-1.54,-1.57,0.00
-1.85,-1.21,0.00
-1.76,1.54,2.00
0.03,2.42,3.00
1.08,-2.09,1.00
1.08,2.24,3.00
2.37,1.26,3.00
-1.63,-2.06,0.00
1.22,-0.57,1.00
0.08,1.54,3.00
1.59,-1.28,1.00
-1.24,-1.42,0.00
-1.12,0.77,0.00
-1.35,-2.89,0.00
-1.27,-0.66,0.00
-0.87,1.12,2.00
1.31,-1.88,1.00
1.88,-1.50,1.00
-1.17,0.51,0.00
1.15,-0.94,1.00
-1.60,1.63,2.00
-0.63,0.90,2.00
1.26,0.82,3.00
-2.56,2.32,2.00
-1.92,-1.23,0.00
1.14,-1.21,1.00
1.48,2.15,3.00
1.07,-0.99,1.00
1.41,-0.31,1.00
0.28,-0.93,1.00
0.92,1.61,3.00
1.81,-1.32,1.00
-1.96,1.93,2.00
1.51,2.19,3.00
-2.01,1.95,2.00
-1.70,-2.18,0.00
2.31,0.72,3.00
1.15,-1.06,1.00
1.67,-1.16,1.00
-1.70,-1.96,0.00
0.94,-0.23,1.00
0.80,1.53,3.00
1.12,1.31,3.00
0.15,1.26,3.00
-2.83,2.46,2.00
-0.26,0.39,2.00
1.46,1.09,3.00
-0.51,0.98,2.00
2.55,-2.02,1.00
-1.58,-0.51,0.00
0.77,1.19,3.00
1.36,-1.68,1.00
1.09,-1.73,1.00
-1.38,-1.22,0.00
1.99,-1.39,1.00
-1.39,-1.12,0.00
-1.89,-1.17,0.00
-3.07,2.55,2.00
1.52,1.86,3.00
-1.39,-0.81,0.00
-1.93,-1.82,0.00
-2.09,1.60,2.00
-1.43,-0.96,0.00
-1.52,-0.54,0.00
-1.53,-2.17,0.00
1.63,-1.95,1.00
1.63,-1.69,1.00
1.16,1.74,3.00
1.07,1.89,3.00
-1.64,1.46,2.00
0.94,-0.11,1.00
-2.56,2.47,2.00
-1.52,-2.43,0.00
0.75,-0.79,1.00
1.32,-1.25,1.00
1.73,-1.77,1.00
1.12,0.42,1.00
-1.76,0.09,0.00
-0.49,1.17,3.00
-1.27,1.22,2.00
-1.96,1.92,2.00
-0.99,1.13,2.00
-1.14,1.07,2.00
-0.94,1.16,2.00
0.52,-0.51,1.00
-1.69,-0.53,0.00
1.91,-2.36,1.00
0.72,1.64,3.00
2.40,1.37,3.00
-1.15,-4.46,0.00
2.03,1.77,3.00
-1.89,-2.27,0.00
2.91,1.39,3.00
1.88,-0.81,1.00
-1.73,-2.09,0.00
-1.62,0.16,0.00
1.46,-1.34,1.00
2.23,1.34,3.00
2.81,1.09,3.00
-0.48,0.81,2.00
1.36,-0.77,1.00
-0.69,0.77,2.00
-1.34,-2.47,0.00
1.31,-1.52,1.00
-0.96,0.85,2.00
-1.86,-0.61,0.00
1.91,-1.00,1.00
1.64,1.15,3.00
2.02,1.97,3.00
-1.17,-0.18,0.00
-1.62,1.81,2.00
1.73,-1.33,1.00
-1.26,-1.75,0.00
-1.24,-0.60,0.00
-2.15,2.13,2.00
3.05,1.17,3.00
-2.69,2.38,2.00
1.72,-1.38,1.00
-2.21,2.24,2.00
-2.04,1.84,2.00
0.53,-0.63,1.00
-1.74,-3.84,0.00
1.88,-1.80,1.00
0.70,1.24,3.00
-0.73,0.99,2.00
-1.24,-1.95,0.00
-2.34,2.11,2.00
2.06,-1.31,1.00
1.10,-0.25,1.00
1.23,-0.88,1.00
0.62,1.87,3.00
-1.65,-1.40,0.00
-1.64,-0.72,0.00
2.45,0.98,3.00
0.78,-1.38,1.00
-0.13,0.23,2.00
0.67,1.27,3.00
1.83,-2.39,1.00
1.79,1.40,3.00
-1.49,-1.63,0.00
2.20,1.48,3.00
-1.81,-1.21,0.00
-1.50,0.72,0.00
2.25,0.81,3.00
-1.55,1.47,2.00
-2.63,2.43,2.00
-1.56,-3.22,0.00
2.14,-1.81,1.00
1.10,-0.44,1.00
1.99,-1.50,1.00
1.73,-0.69,1.00
1.24,-1.22,1.00
-0.04,0.52,2.00
0.33,1.27,3.00
1.80,0.71,3.00
1.74,-1.52,1.00
1.82,-1.56,1.00
3.31,1.64,3.00
1.77,-1.09,1.00
1.01,-1.16,1.00
-1.55,-1.41,0.00
2.11,-1.37,1.00
1.74,-1.52,1.00
2.48,-2.09,1.00
-3.18,2.85,2.00
2.24,2.08,3.00
-1.75,1.71,2.00
1.27,-1.69,1.00
1.16,1.70,3.00
-0.33,0.71,2.00
-1.00,-0.69,0.00
-1.94,-2.25,0.00
-1.76,1.61,2.00
1.85,-2.35,1.00
1.45,1.44,3.00
1.85,-1.80,1.00
-1.34,0.32,0.00
-1.90,1.74,2.00
-0.96,1.34,2.00
-1.38,1.39,2.00
1.48,-1.19,1.00
1.43,1.86,3.00
-1.30,-0.95,0.00
-1.28,-2.51,0.00
0.73,1.97,3.00
-0.98,1.14,2.00
-1.52,-2.14,0.00
1.67,-1.47,1.00
-1.40,1.44,2.00
1.57,-1.67,1.00
1.62,1.63,3.00
-1.63,-2.30,0.00
-1.16,-2.34,0.00
1.08,1.20,3.00
2.39,-2.36,1.00
1.75,-1.35,1.00
0.82,-0.66,2.00
1.39,2.06,3.00
-1.01,0.92,2.00
-1.00,-0.47,0.00
-2.39,2.25,2.00
-1.42,0.15,0.00
2.04,-2.79,1.00
-1.82,1.80,2.00
0.71,1.68,3.00
-1.84,-3.20,0.00
3.01,0.95,3.00
1.31,-1.40,1.00
1.23,-1.06,1.00
2.19,-1.59,1.00
-1.82,-1.84,0.00
1.77,1.31,3.00
1.17,-0.94,2.00
1.48,-1.17,1.00
0.07,0.31,2.00
2.18,-1.74,1.00
-1.78,-0.56,0.00
1.57,-2.92,1.00
2.14,-2.25,1.00
1.86,-2.02,1.00
2.03,-1.81,1.00
-1.40,-1.77,0.00
1.50,-1.23,1.00
-1.71,1.58,2.00
-0.10,0.29,2.00
-1.40,-0.48,0.00
1.31,0.01,1.00
0.88,1.60,3.00
1.51,-1.56,1.00
-1.48,-0.23,0.00
-2.86,2.54,2.00
-0.97,-1.47,0.00
-1.32,-0.41,0.00
-1.97,1.87,2.00
3.25,1.07,3.00
-1.78,-2.75,0.00
2.12,1.12,3.00
-1.25,-2.75,0.00
1.51,-0.63,1.00
1.41,-1.32,1.00
1.90,1.71,3.00
0.86,1.75,3.00
1.88,1.07,3.00
1.70,1.41,3.00
1.46,-2.15,1.00
1.09,-0.80,2.00
-2.04,1.97,2.00
1.81,1.03,3.00
-1.94,2.11,2.00
-1.30,1.03,2.00
2.32,1.22,3.00
0.68,-2.05,1.00
1.87,1.20,3.00
-1.99,-1.51,0.00
1.10,1.77,3.00
-1.58,-0.87,0.00
-1.64,-1.31,0.00
-1.68,-2.85,0.00
-1.34,-1.76,0.00
-3.56,3.06,2.00
1.70,-1.62,1.00
-2.63,2.27,2.00
-1.73,-2.51,0.00
-2.58,2.26,2.00
1.75,1.76,3.00
-2.61,2.29,2.00
1.40,-1.50,1.00
1.18,1.94,3.00
-1.03,1.40,2.00
-1.20,1.34,2.00
2.37,1.14,3.00
1.09,1.27,3.00
2.40,1.15,3.00
-1.33,1.33,2.00
-1.65,-1.19,0.00
0.12,-0.10,2.00
0.28,1.62,3.00
-0.96,1.10,2.00
2.55,1.65,3.00
1.20,-0.49,1.00
-1.36,-2.83,0.00
-2.74,2.57,2.00
-1.67,-0.59,0.00
2.04,1.23,3.00
-1.31,1.17,2.00
1.23,1.36,3.00
-0.76,0.87,2.00
-1.40,-2.14,0.00
1.47,-1.31,1.00
1.33,1.06,3.00
-1.46,-0.25,0.00
0.74,-0.28,2.00
1.79,-0.81,1.00
-1.58,-3.18,0.00
-1.45,-0.82,0.00
1.49,-1.30,1.00
2.37,1.52,3.00
-1.55,-2.36,0.00
0.32,1.93,3.00
1.34,-2.28,1.00
1.06,1.89,3.00
-0.09,0.33,2.00
1.45,-1.73,1.00
-1.00,1.11,2.00
-1.74,1.63,2.00
0.52,-1.12,1.00
-1.54,-0.94,0.00
-1.25,-1.17,0.00
2.46,-1.70,1.00
-1.61,-0.01,0.00
-1.87,-2.35,0.00
-0.82,0.88,2.00
1.37,-0.80,1.00
0.36,1.56,3.00
-1.18,-1.44,0.00
0.16,1.59,3.00
-0.18,0.42,2.00
2.02,-0.97,1.00
-1.50,-0.28,0.00
-1.46,-1.90,0.00
1.15,2.16,3.00
1.91,1.77,3.00
-1.52,-0.45,0.00
0.08,0.24,2.00
0.02,1.18,3.00
1.53,-2.27,1.00
-0.16,0.55,2.00
2.98,0.97,3.00
0.39,1.41,3.00
1.82,1.13,3.00
1.82,2.02,3.00
3.78,1.36,3.00
0.18,1.15,3.00
-1.55,-2.19,0.00
2.49,1.33,3.00
1.58,-1.57,1.00
1.85,1.71,3.00
-1.96,1.94,2.00
-1.30,-2.29,0.00
0.90,-1.63,1.00
-2.53,2.56,2.00
0.95,-1.77,1.00
1.34,-1.72,1.00
2.69,1.54,3.00
-1.62,1.31,2.00
1.82,1.52,3.00
-1.51,0.25,0.00
0.86,-1.89,1.00
-2.09,1.93,2.00
1.86,-1.72,1.00
1.16,0.99,3.00
-1.36,1.64,2.00
0.59,1.83,3.00
1.38,-1.54,1.00
-0.05,0.38,2.00
-1.45,-1.43,0.00
-2.37,2.35,2.00
2.02,2.11,3.00
-1.07,0.86,2.00
-1.53,-0.91,0.00
1.50,-2.64,1.00
-1.84,-2.12,0.00
-1.03,-1.71,0.00
1.55,-1.46,1.00
2.18,1.46,3.00
1.22,-1.91,1.00
1.29,-1.96,1.00
-1.60,-0.40,0.00
-1.54,0.60,0.00
1.62,-1.33,1.00
1.65,-1.54,1.00
-1.39,1.52,2.00
1.26,-1.86,1.00
1.46,-0.34,1.00
-1.91,-3.50,0.00
-1.76,-1.58,0.00
1.75,-1.81,1.00
2.31,-2.00,1.00
-1.56,-1.85,0.00
-1.76,-1.51,0.00
-0.92,0.95,2.00
-2.56,2.50,2.00
-3.34,3.18,2.00
-1.97,-2.05,0.00
-1.96,1.96,2.00
1.52,-2.57,1.00
1.05,1.31,3.00
0.93,1.16,3.00
-3.19,2.82,2.00
1.85,1.70,3.00
1.96,1.51,3.00
-0.49,2.15,3.00
1.80,-1.53,1.00
1.64,-1.42,1.00
-2.12,1.87,2.00
-1.48,-0.90,0.00
-1.37,-1.48,0.00
1.42,1.73,3.00
1.77,-2.38,1.00
1.29,-0.96,1.00
1.18,-1.61,1.00
0.28,-0.08,2.00
2.35,-2.59,1.00
2.53,2.21,3.00
-1.57,1.60,2.00
-2.28,2.14,2.00
-1.23,-1.15,0.00
-1.63,-2.95,0.00
-1.75,-3.26,0.00
-1.35,-2.45,0.00
-1.46,1.74,2.00
1.38,1.81,3.00
-0.75,1.28,3.00
3.85,1.57,3.00
1.21,-1.18,1.00
-1.28,-1.54,0.00
1.44,-2.51,1.00
-0.29,1.73,3.00
1.83,-1.42,1.00
-2.78,2.42,2.00
1.67,1.77,3.00
-1.57,-1.68,0.00
-1.75,-0.69,0.00
2.27,1.30,3.00
1.40,-1.78,1.00
1.48,1.56,3.00
1.21,-1.59,1.00
0.23,1.51,3.00
-3.34,2.70,2.00
-1.65,-1.10,0.00
-1.54,-1.93,0.00
0.82,1.58,3.00
-2.22,1.96,2.00
-0.61,0.74,2.00
-2.23,2.20,2.00
0.85,2.29,3.00
0.91,-1.54,1.00
1.70,-1.33,1.00
1.72,-1.79,1.00
-0.99,1.11,2.00
1.80,-0.82,1.00
-1.72,-2.49,0.00
1.62,1.14,3.00
1.64,2.34,3.00
1.63,-2.27,1.00
1.51,1.93,3.00
1.88,-0.35,1.00
-1.59,-1.30,0.00
-2.84,2.46,2.00
2.37,1.63,3.00
-1.00,1.24,2.00
1.23,1.72,3.00
-1.34,-2.63,0.00
1.67,-1.52,1.00
-2.86,2.43,2.00
-2.53,2.27,2.00
3.90,1.36,3.00
-1.61,-2.09,0.00
-1.73,-1.07,0.00
0.97,-1.68,1.00
-1.26,-2.43,0.00
-1.61,1.15,0.00
1.69,-0.74,1.00
1.41,1.15,3.00
-2.92,2.58,2.00
2.24,1.36,3.00
-1.59,-0.37,0.00
1.90,-1.31,1.00
1.63,0.76,3.00
0.52,1.34,3.00
-1.39,-1.26,0.00
2.37,1.41,3.00
-2.73,2.20,2.00
-1.47,0.25,0.00
1.99,-1.49,1.00
-0.59,0.74,2.00
1.77,1.72,3.00
1.64,-2.65,1.00
-1.54,-1.74,0.00
2.07,1.60,3.00
1.23,-1.04,1.00
-1.63,-1.61,0.00
1.31,1.74,3.00
1.96,-1.39,1.00
1.49,0.96,3.00
-1.22,-2.03,0.00
1.53,2.04,3.00
0.95,1.45,3.00
-0.97,0.69,2.00
0.68,-0.99,1.00
-1.57,1.73,2.00
-2.31,2.17,2.00
-1.93,2.03,2.00
-0.28,0.33,2.00
-1.51,-0.55,0.00
-1.81,-1.82,0.00
1.22,-1.66,1.00
-2.69,2.58,2.00
-0.17,0.16,2.00
-1.69,-2.19,0.00
-1.51,-1.93,0.00
-1.10,-1.98,0.00
-0.26,0.57,2.00
-1.53,1.38,2.00
-0.44,0.85,2.00
2.23,1.52,3.00
1.77,-1.26,1.00
1.66,-1.94,1.00
-1.20,-3.75,0.00
-1.50,0.04,0.00
-1.88,1.87,2.00
1.78,-2.07,1.00
0.22,-0.00,2.00
-1.44,-1.88,0.00
1.06,-1.14,1.00
-0.55,0.80,2.00
-1.49,1.68,2.00
0.69,1.39,3.00
-1.55,-1.43,0.00
-1.61,-2.75,0.00
-0.85,0.77,2.00
-1.83,-1.77,0.00
0.59,1.02,3.00
-1.71,-1.38,0.00
-1.78,-2.95,0.00
-1.72,-3.14,0.00
1.11,1.36,3.00
-1.64,1.62,2.00
-1.73,-3.13,0.00
2.05,-1.47,1.00
2.04,1.95,3.00
0.61,0.81,3.00
1.28,-0.75,1.00
1.72,1.01,3.00
-2.22,2.20,2.00
-0.19,0.51,2.00
-0.77,0.72,2.00
2.18,1.07,3.00
1.27,0.68,3.00
-1.33,0.51,0.00
2.88,1.34,3.00
-1.32,0.66,0.00
-1.87,1.60,2.00
-0.40,1.24,3.00
1.54,-0.47,1.00
-1.29,-0.67,0.00
-1.56,1.40,2.00
-0.61,0.62,2.00
-1.63,-3.17,0.00
0.83,-1.14,1.00
1.66,1.53,3.00
2.05,2.19,3.00
-0.36,1.45,3.00
1.77,1.55,3.00
-1.44,-0.49,0.00
-1.09,1.33,2.00
-1.23,1.64,2.00
-1.24,-3.32,0.00
2.07,0.87,3.00
1.48,1.42,3.00
2.04,-2.40,1.00
1.67,1.97,3.00
1.79,-2.82,1.00
1.55,1.13,3.00
-1.20,2.19,3.00
0.07,-0.06,2.00
0.35,2.24,3.00
-1.12,1.34,2.00
-1.57,-1.96,0.00
-1.31,-2.45,0.00
-0.96,-0.22,0.00
2.64,1.29,3.00
-0.31,0.21,2.00
-1.88,-1.86,0.00
-0.24,1.86,3.00
1.68,-1.50,1.00
-0.98,0.91,2.00
1.30,-0.78,1.00
-0.45,0.63,2.00
1.47,1.25,3.00
-1.35,-1.12,0.00
2.33,-1.46,1.00
3.60,1.33,3.00
-1.38,-2.12,0.00
-2.47,2.35,2.00
-1.29,-1.91,0.00
-1.59,-2.78,0.00
-0.58,0.89,2.00
1.32,1.75,3.00
1.98,-1.49,1.00
1.67,-0.30,1.00
-1.40,-1.42,0.00
-0.28,0.45,2.00
-1.49,-2.45,0.00
-0.01,0.08,2.00
0.87,1.25,3.00
1.08,1.26,3.00
-0.51,0.58,2.00
-1.36,-1.13,0.00
0.36,2.46,3.00
-1.60,1.61,2.00
-0.61,0.80,2.00
-1.57,-2.96,0.00
1.75,-0.46,1.00
2.70,1.90,3.00
-1.43,-2.07,0.00
-1.19,-1.66,0.00
1.56,1.78,3.00
2.08,0.93,3.00
-0.55,0.82,2.00
-1.24,-2.15,0.00
2.09,-2.36,1.00
-1.21,-0.99,0.00
-1.78,1.74,2.00
-1.41,-1.00,0.00
-0.85,0.95,2.00
-1.19,1.30,2.00
-1.24,1.27,2.00
1.83,-1.12,1.00
1.55,-1.41,1.00
2.15,-1.46,1.00
0.43,0.85,3.00
1.36,1.35,3.00
1.31,-1.09,1.00
0.95,-1.51,1.00
0.11,1.48,3.00
-1.88,-3.00,0.00
1.85,-2.23,1.00
1.92,-2.15,1.00
1.26,0.75,3.00
2.08,-2.01,1.00
0.31,1.39,3.00
1.96,-2.20,1.00
-1.07,0.79,2.00
-1.47,-1.62,0.00
-3.08,2.68,2.00
1.19,-1.14,1.00
-1.68,-2.38,0.00
-1.58,-0.85,0.00
1.44,-1.01,1.00
2.09,1.48,3.00
-0.32,0.63,2.00
-1.31,-1.12,0.00
1.54,-1.40,1.00
-1.09,1.38,2.00
-2.32,2.23,2.00
2.32,1.55,3.00
-2.24,2.25,2.00
1.45,-2.21,1.00
-2.59,2.29,2.00
1.42,-1.63,1.00
1.88,-1.80,1.00
1.85,-1.61,1.00
-2.72,2.90,2.00
1.82,1.79,3.00
0.94,1.37,3.00
2.35,2.06,3.00
1.84,1.78,3.00
-1.57,-3.08,0.00
-1.17,1.23,2.00
-1.95,1.92,2.00
-1.44,-1.87,0.00
-1.21,-0.50,0.00
-1.77,-2.24,0.00
0.65,1.15,3.00
0.46,1.27,3.00
2.39,1.34,3.00
-2.98,2.71,2.00
0.93,-0.51,1.00
-1.51,1.48,2.00
2.17,-2.08,1.00
1.70,-0.92,1.00
-1.44,0.83,0.00
-1.61,-1.41,0.00
1.73,-1.59,1.00
-3.08,2.96,2.00
-1.69,1.89,2.00
-0.71,0.98,2.00
3.00,1.20,3.00
-1.37,-2.83,0.00
1.32,1.73,3.00
-1.93,1.64,2.00
1.58,1.90,3.00
3.26,0.92,3.00
-1.33,0.56,0.00
-1.44,-0.67,0.00
-1.57,-1.12,0.00
1.16,-2.25,1.00
-1.81,1.68,2.00
0.40,1.69,3.00
-1.38,-2.05,0.00
1.11,-1.38,1.00
-1.49,-0.78,0.00
-1.57,-2.16,0.00
-2.28,2.08,2.00
-1.84,-1.63,0.00
-2.10,-2.21,0.00
1.30,2.31,3.00
1.58,1.15,3.00
0.79,1.38,3.00
1.70,-1.29,1.00
-1.31,-1.73,0.00
0.77,1.90,3.00
1.99,-1.53,1.00
-1.50,-2.19,0.00
-0.67,1.71,3.00
-1.95,2.02,2.00
0.57,-0.22,2.00
1.49,-1.23,1.00
-1.31,-0.36,0.00
1.88,-1.66,1.00
-1.66,-1.19,0.00
0.21,0.22,2.00
0.82,-2.10,1.00
-3.69,3.31,2.00
2.44,2.25,3.00
1.28,-1.17,1.00
1.85,-1.68,1.00
1.95,-1.39,1.00
0.06,0.16,2.00
1.68,-2.04,1.00
-1.37,-0.44,0.00
-1.59,-0.52,0.00
1.36,1.50,3.00
2.23,-2.10,1.00
-1.41,-2.73,0.00
1.20,-0.69,1.00
-2.94,2.97,2.00
-0.05,0.16,2.00
-1.66,-2.03,0.00
-0.39,2.22,3.00
-2.02,1.95,2.00
1.08,1.42,3.00
3.43,1.58,3.00
-1.68,-1.77,0.00
1.69,-1.57,1.00
-0.93,0.96,2.00
-1.26,1.48,2.00
-0.79,0.83,2.00
-1.74,1.69,2.00
-0.83,1.10,2.00
