Year,Age,Actor,Sex,Film,nominations,rating,duration,genre1,genre2,release,synopsis
1928,44,Emil Jannings,M,The Last Command,2,8,88,Drama,History,April,A former Imperial Russian general and cousin of the Czar ends up in Hollywood as an extra in a movie directed by a former revolutionary.
1928,22,Laura Gainor (aka Janet Gaynor),F,Sunrise,5,7.8,110,Drama,Romance,,A street cleaner saves a young womans life and the pair slowly fall in love until war intervenes.
1929,38,Warner Baxter,M,In Old Arizona,5,5.8,95,Romance,Western,January,A charming happy-go-lucky bandit in old Arizona plays cat-and-mouse with the sheriff trying to catch him while he romances a local beauty.
1929,37,Mary Pickford,F,Coquette,,7.3,76,Drama,Romance,April,A flirtatious southern belle is compromised with one of her beaus.
1930,62,George Arliss,M,Disraeli,3,6.5,90,Biography,Drama,November,Prime Minister of Great Britain Benjamin Disraeli outwits the subterfuge of the Russians and chicanery at home in order to secure the purchase of the Suez Canal.
1930,30,Norma Shearer,F,The Divorcee,4,6.9,84,Romance,Drama,April,When a woman discovers that her husband has been unfaithful to her she decides to respond to his infidelities in kind.
1931,53,Lionel Barrymore,M,A Free Soul,3,6.7,93,Crime,Drama,June,An alcoholic lawyer who successfully defended a notorious gambler on a murder charge objects when his free-spirited daughter becomes romantically involved with him.
1931,62,Marie Dressler,F,Min and Bill,,7.4,69,Comedy,Drama,November,Min the owner of a dockside hotel is forced to make difficult decisions about the future of Nancy the young woman she took in as an infant.
1932,41,W. Beery(47)/F. March(35)*,M,The Champ/Dr. Jekyll and Mr. Hyde,4,7.3,86,Drama,Family,November,"Dink Purcell loves his alcoholic father ex-heavyweight champion Andy ""Champ"" Purcell despite his frequent binges his frequent gambling and their squalid living conditions. And theres ...                See full summary »"
1932,32,Helen Hayes,F,Sin of Madelon,,6.8,75,Drama,,October,Out of jail for a crime she did not commit Madelon turns to prostitution and thievery to send her illegitimate son to medical school.
1933,34,Charles Laughton,M,Private Life Henry VIII,2,7.3,97,Biography,Comedy,August,Tells how King Henry VIII came to marry five more times after his divorce from his first wife.
1933,26,Katherine Hepburn,F,Morning Glory,,6.6,74,Drama,Romance,August,When a naively innocent aspiring actress arrives on the Broadway scene she is taken under the wing of several theater veterans who mentor her to ultimate success.
1934,33,Clarke Gable,M,It Happened One Night,5,8.2,105,Comedy,Romance,February,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
1934,31,Collette Colbert,F,It Happened One Night,5,8.2,105,Comedy,Romance,February,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
1935,49,Victor McLagen,M,The Informer,6,7.6,91,Drama,,July,In 1922 an Irish rebel informs on his friend then feels doom closing in.
1935,27,Bette Davis,F,Dangerous,,7.2,79,Drama,,December,An alcoholic actress who is considered a dangerous jinx is rehabilitated but she then shows that shes as dangerous as ever.
1936,41,Paul Muni,M,Story of Louis Pasteur,4,7.4,86,Biography,Drama,February,The biography of the pioneering French microbiologist who helped revolutionize agriculture and medicine.
1936,26,Luise Rainer,F,The Great Zeigfield,7,6.8,176,Biography,Drama,April,This biography follows the ups and downs of Florenz Ziegfeld famed producer of extravagant stage revues.
1937,37,Spencer Tracy,M,Captains Courageous,4,8,117,Adventure,Drama,June,Harvey Cheyne is a spoiled brat used to having his own way. When a prank goes wrong onboard an ocean liner Harvey ends up overboard and nearly drowns. Fortunately hes picked up by a ...                See full summary »
1937,27,Luise Rainer,F,The Good Earth,5,7.8,138,Drama,Romance,August,The story of a farmer in China: a story of humility and bravery. His father gives Wang Lung a freed slave as wife. By diligence and frugality the two manage to enlarge their property. But ...                See full summary »
1938,38,Spencer Tracy,M,Boys Town,5,7.3,96,Biography,Drama,September,"Against all odds Father Flanagan starts ""Boys Town"" after hearing a convicts story. Whitey Marsh comes there. He runs away but hungry returns. He runs away again but when friend Pee ...                See full summary »"
1938,30,Bette Davis,F,Jezebel,5,7.6,104,Drama,Romance,March,A haughty headstrong Southern Belle in Antebellum Louisiana loses her fiance due to her stubborn vanity and pride and vows to get him back.
1939,34,Robert Donat,M,Goodbye. Mr. Chips,7,7.7,114,Drama,Romance,July,An aged teacher and former headmaster of a boarding school recalls his career and his personal life over the decades.
1939,26,Vivien Leigh,F,Gone With The Wind,13,8.2,238,Drama,Romance,January,A manipulative Southern belle carries on a turbulent affair with a blockade runner during the American Civil War.
1940,32,James Sterart,M,Philadelphia Story,6,8.1,112,Comedy,Romance,December,When a rich womans ex-husband and a tabloid-type reporter turn up just before her planned remarriage she begins to learn the truth about herself.
1940,29,Ginger Rogers,F,Kitty,5,7.1,108,Drama,Romance,December,Kitty Foyle a hard-working white-collar girl from a Philadelphia Pennsylvania low middle-class family meets and falls in love with young socialite Wyn Strafford but his family is against her.
