feature1,feature2,target
0.71,0.45,0.00
-0.50,0.81,0.00
-0.07,0.25,1.00
0.75,0.68,0.00
-0.38,-0.93,0.00
0.37,-1.00,0.00
-0.27,-0.04,1.00
-0.70,0.54,0.00
-0.23,-0.10,1.00
0.25,-0.12,1.00
0.10,0.23,1.00
0.25,-0.02,1.00
0.27,0.27,1.00
-1.01,-0.25,0.00
-0.14,-0.25,1.00
-0.63,0.80,0.00
1.03,-0.00,0.00
1.07,0.08,0.00
-1.00,-0.07,0.00
0.11,-0.05,1.00
-0.16,-0.12,1.00
-0.35,0.08,1.00
-0.21,0.17,1.00
-0.12,0.08,1.00
-0.32,-0.06,1.00
-0.16,-0.15,1.00
0.14,1.30,0.00
0.68,0.81,0.00
0.19,-0.96,0.00
0.20,-0.39,1.00
0.42,0.40,1.00
-0.23,0.43,1.00
0.93,-0.48,0.00
-0.21,1.07,0.00
-0.57,0.63,0.00
-0.55,1.02,0.00
0.36,-0.13,1.00
0.43,-0.24,1.00
0.76,-0.84,0.00
0.29,0.89,0.00
-0.62,-0.79,0.00
-0.24,1.03,0.00
0.19,-0.36,1.00
0.07,-0.03,1.00
0.16,-0.19,1.00
-0.30,-0.40,1.00
1.12,0.35,0.00
-0.22,-1.02,0.00
-0.95,0.01,0.00
-0.42,-0.25,1.00
0.94,0.55,0.00
-0.29,0.28,1.00
-0.19,0.01,1.00
0.74,-0.78,0.00
-1.05,0.03,0.00
-0.37,0.32,1.00
1.17,0.40,0.00
-0.08,-0.04,1.00
-0.72,-0.49,0.00
0.09,0.18,1.00
-0.06,0.14,1.00
0.98,0.61,0.00
0.06,-0.28,1.00
0.20,-0.26,1.00
0.38,0.13,1.00
-0.03,0.78,0.00
0.17,-0.30,1.00
1.04,-0.05,0.00
0.07,0.11,1.00
-0.63,0.77,0.00
0.49,0.23,1.00
-0.23,0.33,1.00
-1.09,-0.05,0.00
-0.13,0.20,1.00
0.15,-0.47,1.00
-0.08,-0.49,1.00
-0.39,0.53,1.00
-0.81,-0.53,0.00
0.04,-0.22,1.00
0.11,-1.05,0.00
0.43,0.36,1.00
-0.93,0.27,0.00
0.38,0.32,1.00
-1.03,0.51,0.00
-1.40,0.23,0.00
0.45,-0.74,0.00
1.14,-0.34,0.00
-0.63,-0.88,0.00
-0.25,-0.01,1.00
-0.14,0.17,1.00
-0.18,0.82,0.00
0.47,-0.78,0.00
-0.89,-0.43,0.00
0.94,-0.14,0.00
-0.35,-1.00,0.00
0.23,0.08,1.00
-0.24,0.12,1.00
0.09,-0.30,1.00
0.34,0.01,1.00
0.70,0.89,0.00
-0.94,-0.02,0.00
0.40,-1.12,0.00
0.60,-0.48,0.00
-0.15,0.01,1.00
-1.16,-0.22,0.00
-0.09,0.18,1.00
-0.11,-0.19,1.00
-0.66,-0.87,0.00
-0.31,-0.05,1.00
-0.16,0.18,1.00
-0.43,-1.02,0.00
0.46,-0.92,0.00
0.01,0.17,1.00
1.01,0.62,0.00
0.10,-0.87,0.00
0.29,0.36,1.00
-0.65,0.07,0.00
-1.16,0.14,0.00
0.02,-0.44,1.00
0.22,0.94,0.00
-0.27,-1.05,0.00
0.09,0.13,1.00
-0.09,-0.44,1.00
-0.01,-0.29,1.00
-0.24,-0.00,1.00
0.10,0.51,1.00
-0.76,0.76,0.00
-0.37,0.89,0.00
-0.55,0.23,1.00
0.18,0.14,1.00
-0.19,-0.02,1.00
-0.23,0.46,1.00
-0.00,0.88,0.00
-1.25,-0.19,0.00
-0.20,-0.46,1.00
-0.16,0.06,1.00
0.25,-0.26,1.00
0.17,-0.18,1.00
0.86,0.35,0.00
-0.78,0.58,0.00
-0.03,0.17,1.00
-0.26,-0.06,1.00
-0.21,0.11,1.00
-0.26,-0.31,1.00
0.49,0.75,0.00
0.16,-0.84,0.00
-0.52,-0.60,0.00
-0.35,0.08,1.00
0.86,0.38,0.00
0.35,0.25,1.00
0.21,0.29,1.00
0.33,-0.20,1.00
1.00,0.17,0.00
-0.01,-0.21,1.00
-0.15,-0.22,1.00
-0.38,0.84,0.00
0.22,0.22,1.00
0.01,0.86,0.00
-0.16,0.06,1.00
0.58,-0.04,1.00
0.51,0.95,0.00
-1.07,0.14,0.00
-0.30,0.16,1.00
0.25,-0.04,1.00
0.30,-0.95,0.00
1.14,-0.37,0.00
0.08,0.19,1.00
0.08,1.12,0.00
-0.04,0.85,0.00
0.17,-0.04,1.00
-0.69,-0.85,0.00
0.14,-0.36,1.00
0.96,0.07,0.00
-0.26,-0.24,1.00
-0.51,0.86,0.00
-0.91,0.20,0.00
-0.48,-0.89,0.00
-0.01,0.14,1.00
1.01,0.54,0.00
0.86,-0.27,0.00
0.33,-1.18,0.00
-0.36,-0.68,0.00
-0.93,-0.72,0.00
0.24,-0.05,1.00
-0.14,0.23,1.00
-0.03,0.11,1.00
-0.34,-0.44,1.00
1.16,-0.06,0.00
0.43,0.31,1.00
0.17,0.19,1.00
0.28,0.14,1.00
-0.89,0.29,0.00
0.34,-0.30,1.00
0.89,-0.71,0.00
-1.20,-0.03,0.00
-0.54,-0.01,1.00
0.76,0.64,0.00
0.38,0.89,0.00
-0.74,-0.67,0.00
-0.08,-0.27,1.00
0.19,-0.92,0.00
0.02,-0.08,1.00
0.63,-0.73,0.00
0.29,-0.20,1.00
0.04,-0.43,1.00
-0.05,-0.09,1.00
0.38,-0.23,1.00
0.30,-0.03,1.00
0.17,-0.93,0.00
-0.22,0.30,1.00
-0.32,0.16,1.00
-0.17,0.17,1.00
-0.28,0.04,1.00
0.14,0.19,1.00
-0.85,-0.57,0.00
0.04,-0.13,1.00
0.25,-0.22,1.00
-0.25,1.03,0.00
1.29,-0.01,0.00
0.71,0.62,0.00
0.03,0.27,1.00
1.02,-0.20,0.00
-0.42,0.85,0.00
-0.26,-0.19,1.00
-0.57,-0.12,1.00
0.89,0.73,0.00
1.18,0.10,0.00
-0.78,0.68,0.00
0.89,0.22,0.00
-0.50,0.92,0.00
-0.31,-0.92,0.00
-0.16,0.01,1.00
0.32,-0.06,1.00
0.11,0.38,1.00
0.02,-0.22,1.00
-0.27,0.11,1.00
-0.72,-0.48,0.00
-0.28,0.35,1.00
0.19,0.45,1.00
-0.30,-0.01,1.00
0.34,-0.07,1.00
0.65,-0.93,0.00
-0.10,1.10,0.00
0.78,-0.49,0.00
0.56,0.64,0.00
0.28,0.98,0.00
0.37,-0.95,0.00
0.20,1.09,0.00
0.44,-0.85,0.00
0.10,0.47,1.00
0.31,-0.49,1.00
0.12,-0.31,1.00
-1.05,-0.15,0.00
-0.95,0.66,0.00
-1.02,0.75,0.00
0.85,-0.21,0.00
1.00,-0.25,0.00
0.92,-0.31,0.00
-0.88,-0.39,0.00
0.06,0.31,1.00
-0.14,0.16,1.00
-0.56,-0.23,1.00
-0.86,0.14,0.00
0.19,-1.02,0.00
1.03,0.31,0.00
-0.11,0.44,1.00
-0.50,0.80,0.00
-0.53,0.97,0.00
-0.17,0.15,1.00
0.96,0.16,0.00
-0.01,-0.22,1.00
0.19,0.88,0.00
-0.09,-0.34,1.00
-0.13,-0.51,1.00
0.87,-0.59,0.00
0.18,1.12,0.00
0.33,-0.27,1.00
