feature1,feature2,target
33000.00,0.84,1.00
31600.00,2.16,0.00
36200.00,2.70,0.00
38200.00,-1.23,1.00
42600.00,-1.29,1.00
9800.00,0.78,0.00
29800.00,0.09,1.00
42800.00,0.66,0.00
49000.00,0.87,0.00
0.00,1.38,0.00
30200.00,2.73,0.00
38400.00,2.85,0.00
38400.00,-1.08,1.00
32600.00,-0.72,1.00
45800.00,1.74,0.00
28000.00,1.08,1.00
32000.00,1.56,0.00
30600.00,2.43,0.00
29000.00,1.08,1.00
29000.00,3.72,0.00
15200.00,1.59,0.00
13800.00,1.98,0.00
34400.00,2.16,0.00
54600.00,-1.59,1.00
28200.00,1.59,1.00
46600.00,0.42,0.00
58200.00,-1.02,1.00
40800.00,-1.08,1.00
31600.00,2.67,0.00
23200.00,3.18,0.00
30000.00,-0.03,1.00
19800.00,2.07,0.00
50200.00,1.02,0.00
14000.00,1.38,0.00
13400.00,0.60,0.00
48200.00,0.69,0.00
26000.00,3.03,0.00
38400.00,2.91,0.00
28800.00,0.36,1.00
47200.00,-1.65,1.00
32600.00,-0.69,1.00
45800.00,1.38,0.00
32800.00,-0.75,1.00
5200.00,0.99,0.00
58800.00,-1.02,1.00
44800.00,0.93,0.00
62400.00,-0.03,1.00
19000.00,2.34,0.00
29800.00,3.00,0.00
50400.00,-1.53,1.00
12600.00,2.52,0.00
50000.00,-1.44,1.00
32200.00,-0.75,1.00
55800.00,-1.80,1.00
69000.00,-0.75,1.00
43200.00,2.16,0.00
26800.00,2.97,0.00
27400.00,2.49,0.00
55000.00,-2.10,1.00
53000.00,-1.17,1.00
34400.00,-1.11,1.00
54400.00,-1.95,1.00
42000.00,-1.98,1.00
44600.00,0.42,0.00
37600.00,2.73,0.00
7000.00,0.66,0.00
49400.00,0.66,0.00
10200.00,0.93,0.00
30200.00,2.94,0.00
29400.00,-0.33,1.00
32800.00,3.21,0.00
46400.00,-1.11,1.00
48400.00,0.18,0.00
46600.00,-2.07,1.00
18200.00,2.01,0.00
7800.00,0.72,0.00
42600.00,-0.99,1.00
43000.00,2.22,0.00
12000.00,1.20,0.00
56400.00,-0.84,1.00
54200.00,-0.78,1.00
31200.00,0.93,1.00
49000.00,0.87,0.00
13000.00,2.40,0.00
32800.00,-1.83,1.00
68800.00,1.08,1.00
48400.00,-1.35,1.00
26200.00,3.27,0.00
62000.00,0.00,1.00
41600.00,1.80,0.00
10000.00,0.06,0.00
40000.00,-0.63,0.00
63400.00,1.08,1.00
67000.00,1.26,1.00
18200.00,2.31,0.00
28000.00,3.00,0.00
69800.00,0.96,1.00
61000.00,-0.45,1.00
57800.00,-0.96,1.00
18400.00,2.97,0.00
33000.00,2.55,0.00
2400.00,0.45,0.00
45200.00,2.13,0.00
46800.00,2.76,0.00
55200.00,-2.10,1.00
56600.00,-1.05,1.00
14000.00,0.75,0.00
37200.00,2.73,0.00
27200.00,0.96,1.00
65800.00,0.51,1.00
56600.00,-0.96,1.00
54600.00,-1.14,1.00
64400.00,-0.39,1.00
42600.00,-1.71,1.00
45800.00,0.93,0.00
9400.00,1.20,0.00
60400.00,-0.54,1.00
37400.00,1.50,0.00
39400.00,-1.14,1.00
11000.00,0.63,0.00
14600.00,3.45,0.00
42800.00,2.70,0.00
25400.00,0.30,1.00
42800.00,2.70,0.00
58600.00,-0.45,1.00
39200.00,-1.08,1.00
45000.00,1.47,0.00
43800.00,0.12,0.00
24200.00,3.30,0.00
37400.00,-0.60,1.00
9400.00,1.59,0.00
13600.00,2.76,0.00
65600.00,0.21,1.00
64600.00,0.66,1.00
46400.00,0.57,0.00
68600.00,-0.57,1.00
27600.00,0.84,1.00
15800.00,2.79,0.00
31400.00,2.01,1.00
4600.00,0.66,0.00
34000.00,0.48,1.00
34200.00,2.67,0.00
70600.00,0.09,1.00
15000.00,1.77,0.00
37000.00,-1.92,1.00
58000.00,-0.84,1.00
30600.00,0.33,1.00
6800.00,0.69,0.00
12400.00,0.96,0.00
9600.00,1.02,0.00
38000.00,-0.03,1.00
35800.00,-0.90,1.00
35000.00,2.31,0.00
67400.00,-0.54,1.00
55600.00,-1.08,1.00
70200.00,0.54,1.00
39800.00,-1.44,1.00
27200.00,3.57,0.00
64600.00,-1.08,1.00
10800.00,2.07,0.00
71600.00,1.23,1.00
43400.00,1.26,0.00
42400.00,-1.02,1.00
27800.00,-0.57,1.00
49400.00,-0.09,0.00
30400.00,-0.42,1.00
66200.00,-0.72,1.00
42000.00,0.00,0.00
10400.00,2.01,0.00
48600.00,0.84,0.00
42000.00,1.62,0.00
47800.00,2.10,0.00
70800.00,1.32,1.00
71600.00,-0.24,1.00
17400.00,0.51,0.00
67400.00,1.11,1.00
9600.00,0.45,0.00
42400.00,2.01,0.00
61800.00,-1.26,1.00
15600.00,2.16,0.00
28800.00,1.32,1.00
44200.00,-0.87,1.00
68200.00,-0.12,1.00
46000.00,1.74,0.00
13000.00,-0.06,0.00
31600.00,1.20,1.00
43600.00,1.83,0.00
46600.00,-1.89,1.00
66600.00,-0.30,1.00
31600.00,2.46,0.00
68400.00,0.78,1.00
24200.00,2.43,0.00
26400.00,3.24,0.00
58000.00,-1.95,1.00
56000.00,0.60,0.00
19400.00,3.33,0.00
30400.00,1.41,1.00
32400.00,0.48,1.00
46000.00,1.71,0.00
48200.00,0.72,0.00
14200.00,2.76,0.00
51400.00,-0.87,1.00
62800.00,1.86,1.00
31000.00,0.39,1.00
36600.00,-0.81,1.00
28000.00,-0.15,1.00
13200.00,1.89,0.00
30600.00,1.83,0.00
26600.00,-0.09,1.00
22400.00,3.57,0.00
9600.00,0.09,0.00
36400.00,-0.48,1.00
36800.00,-1.38,1.00
26200.00,2.58,0.00
55600.00,-0.51,1.00
15000.00,1.86,0.00
56200.00,-0.84,1.00
29600.00,-0.42,1.00
31600.00,3.75,0.00
33000.00,-0.30,1.00
50600.00,-1.29,1.00
14200.00,2.94,0.00
61600.00,-1.35,1.00
45400.00,-1.92,1.00
70200.00,0.54,1.00
26000.00,-0.72,1.00
35000.00,-0.45,1.00
37000.00,3.54,0.00
47600.00,0.09,0.00
35600.00,3.21,0.00
37200.00,2.46,0.00
34200.00,2.91,0.00
9800.00,1.23,0.00
33000.00,1.44,1.00
47800.00,1.02,0.00
44200.00,2.43,0.00
37600.00,-0.39,1.00
18000.00,3.45,0.00
56800.00,0.45,1.00
63000.00,0.33,1.00
26800.00,0.60,1.00
23000.00,3.57,0.00
56600.00,-1.59,1.00
46000.00,-1.35,1.00
50000.00,-1.32,1.00
31200.00,1.02,1.00
45600.00,2.64,0.00
47000.00,-1.95,1.00
47800.00,-0.69,0.00
44200.00,1.98,0.00
55600.00,-1.74,1.00
23200.00,2.61,0.00
30600.00,0.21,1.00
24000.00,1.05,1.00
29000.00,-0.81,1.00
44400.00,-0.99,1.00
71000.00,-0.39,1.00
34400.00,-0.54,1.00
8800.00,1.23,0.00
12000.00,1.98,0.00
28200.00,3.03,0.00
50600.00,0.81,0.00
63200.00,-0.93,1.00
38800.00,-1.47,1.00
54200.00,-0.75,1.00
37200.00,3.72,0.00
28800.00,-0.09,1.00
35800.00,2.16,0.00
67000.00,1.32,1.00
66400.00,0.45,1.00
8800.00,1.41,0.00
24600.00,1.29,1.00
72000.00,1.17,1.00
67000.00,0.57,1.00
65000.00,0.54,1.00
11400.00,1.59,0.00
43000.00,-0.27,1.00
44000.00,-2.01,1.00
43200.00,2.25,0.00
33600.00,-0.57,1.00
37400.00,-0.75,1.00
29600.00,3.66,0.00
39600.00,1.92,0.00
12600.00,1.41,0.00
42400.00,-1.80,1.00
64000.00,1.41,1.00
46800.00,-1.62,1.00
28600.00,3.63,0.00
7600.00,0.51,0.00
34600.00,-0.45,1.00
34600.00,2.73,0.00
10600.00,1.14,0.00
24200.00,3.12,0.00
47000.00,-1.35,1.00
44600.00,1.59,0.00
13400.00,1.35,0.00
51800.00,-0.96,1.00
14600.00,0.99,0.00
34400.00,-1.05,1.00
39800.00,2.49,0.00
36600.00,-1.14,1.00
11000.00,1.86,0.00
