nombre,edad,altura,peso,posiciones,pie preferido,velocidad,disparo,pase,manejo,defensa,estado fisico
Lionel Andrés Messi Cuccittini,32,170,72,"RW, CF, ST",Izquierdo,87,92,92,96,39,66
Cristiano Ronaldo dos Santos Aveiro,34,187,83,"ST, LW",Derecho,90,93,82,89,35,78
Neymar da Silva Santos Junior,27,175,68,"LW, CAM",Derecho,91,85,87,95,32,58
Eden Hazard,28,175,74,"LW, CF",Derecho,91,83,86,94,35,66
Kevin De Bruyne,28,181,70,"CAM, CM",Derecho,76,86,92,86,61,78
Virgil van Dijk,27,193,92,CB,Derecho,77,60,70,71,90,86
Luka Modrić,33,172,66,CM,Derecho,74,76,89,89,72,66
Mohamed  Salah Ghaly,27,175,71,"RW, ST",Izquierdo,93,86,81,89,45,74
Kylian Mbappé,20,178,73,"ST, RW",Derecho,96,84,78,90,39,75
Kalidou Koulibaly,28,187,89,CB,Derecho,71,28,54,67,89,87
Harry Kane,25,188,89,ST,Derecho,70,91,79,81,47,83
N'Golo Kanté,28,168,72,"CDM, CM",Derecho,78,65,77,81,87,83
Giorgio Chiellini,34,187,85,CB,Izquierdo,68,46,58,60,90,82
Sergio Leonel Agüero del Castillo,31,173,70,ST,Derecho,80,90,77,88,33,74
Sergio Ramos García,33,184,82,CB,Derecho,72,68,75,73,87,85
Luis Alberto Suárez Díaz,32,182,86,ST,Derecho,73,89,80,84,51,84
Robert Lewandowski,30,184,80,ST,Derecho,77,87,74,85,41,82
Sergio Busquets i Burgos,30,189,76,"CDM, CM",Derecho,42,62,80,80,85,80
Antoine Griezmann,28,176,73,"CF, ST, LW",Izquierdo,81,86,84,89,57,72
Paulo Bruno Exequiel Dybala,25,177,75,"CAM, RW",Izquierdo,83,82,84,90,43,64
Paul Pogba,26,191,84,"CM, CDM",Derecho,74,81,86,85,66,86
Raheem Sterling,24,170,69,"RW, LW",Derecho,93,79,78,89,45,57
Christian  Dannemann Eriksen,27,181,76,"CAM, CM",Derecho,73,81,90,84,53,63
Gerard Piqué Bernabéu,32,194,85,CB,Derecho,56,61,72,68,88,80
David Josué Jiménez Silva,33,173,67,"CAM, CM",Izquierdo,65,74,88,89,52,57
Edinson Roberto Cavani Gómez,32,185,77,ST,Derecho,75,86,72,79,55,83
Diego Godín,33,187,78,CB,Derecho,60,48,64,61,89,83
Toni Kroos,29,183,76,CM,Derecho,45,80,90,81,70,69
Marco Reus,30,180,71,"CAM, LM, ST",Derecho,85,88,84,87,45,66
Pierre-Emerick Aubameyang,30,187,80,"ST, LM",Derecho,94,85,75,80,37,69
Sadio Mané,27,175,69,"LW, LM",Derecho,94,83,77,89,44,74
Aymeric  Laporte,25,189,85,"CB, LB",Izquierdo,64,50,71,68,88,82
Bernardo Mota Veiga de Carvalho e Silva,24,173,64,"RW, CAM, CM",Izquierdo,81,76,83,92,51,67
Carlos Henrique Venancio Casimiro,27,185,84,CDM,Derecho,62,72,75,72,85,89
손흥민 孙兴慜,26,183,78,"CF, LM",Derecho,88,86,80,87,42,68
Fernando Luiz Rosa,34,179,67,CDM,Derecho,66,74,79,78,84,79
Thiago Emiliano da Silva,34,183,82,CB,Derecho,62,54,72,72,87,78
Karim Benzema,31,185,81,"CF, ST",Derecho,76,82,80,86,39,77
Jan Vertonghen,32,189,86,CB,Izquierdo,63,63,74,72,87,79
Dries Mertens,32,169,61,"CF, ST",Derecho,88,83,80,91,35,53
Mats  Hummels,30,191,94,CB,Derecho,51,58,76,72,89,76
Toby Alderweireld,30,186,81,CB,Derecho,64,55,72,66,88,79
Jordi Alba Ramos,30,170,68,LB,Izquierdo,90,69,81,83,79,73
