action_class,subject,instance,fixed_by
1,2,1,Ronchetti
1,2,2,Ronchetti
1,2,3,Ronchetti
2,2,1,Ronchetti
2,2,2,Ronchetti
2,2,3,Ronchetti
3,2,1,Ronchetti
3,2,2,Ronchetti
3,2,3,Ronchetti
4,2,1,Ronchetti
4,2,2,Ronchetti
4,2,3,Ronchetti
5,2,1,Ronchetti
5,2,2,Ronchetti
5,2,3,Ronchetti
6,2,1,Ronchetti
6,2,2,Ronchetti
6,2,3,Ronchetti
7,2,1,Ronchetti
7,2,2,Ronchetti
7,2,3,Ronchetti
8,2,1,Ronchetti
8,2,2,Ronchetti
8,2,3,Ronchetti
9,2,1,Ronchetti
9,2,2,Ronchetti
9,2,3,Ronchetti
10,2,1,Ronchetti
10,2,2,Ronchetti
10,2,3,Ronchetti
11,2,1,Ronchetti
11,2,2,Ronchetti
11,2,3,Ronchetti
12,2,1,Ronchetti
12,2,2,Ronchetti
12,2,3,Ronchetti
1,3,2,Ronchetti
1,3,3,Ronchetti
9,3,3,Ronchetti
10,3,1,Ronchetti
10,3,2,Ronchetti
10,3,3,Ronchetti
11,3,1,Ronchetti
11,3,2,Ronchetti
11,3,3,Ronchetti
12,3,1,Ronchetti
