action_class,subject,instance,excluded_by
2,3,2,Jing
4,3,1,Jing
7,4,1,Jing
13,9,1,Jing
13,9,2,Jing
13,9,3,Jing
14,3,1,Jing
20,7,1,Jing
20,7,3,Jing
20,10,3,Jing
2,8,2,Ronchetti
12,3,2,Ronchetti
20,1,1,Ronchetti
20,2,1,Ronchetti
20,2,2,Ronchetti
20,2,3,Ronchetti
20,6,1,Ronchetti
20,7,2,Ronchetti
20,8,2,Ronchetti
20,8,3,Ronchetti
20,10,1,Ronchetti
20,10,2,Ronchetti
17,1,2,Ronchetti
1,2,1,Ronchetti
1,2,2,Ronchetti
17,3,1,Ronchetti
18,3,1,Ronchetti
18,3,2,Ronchetti
18,3,3,Ronchetti
19,1,1,Ronchetti
19,4,1,Ronchetti
13,6,1,Ronchetti
13,6,2,Ronchetti
13,6,3,Ronchetti
13,8,1,Ronchetti
13,8,2,Ronchetti
13,10,2,Ronchetti
13,1,1,Ronchetti
13,1,2,Ronchetti
13,2,2,Ronchetti
13,5,1,Ronchetti
